intern_id,department,attendance_rate,task_completion_rate,avg_feedback_score,hours_per_week,final_assessment_score,interaction_level,performance_label
"""INT1000",Design,77.2553835607569,86.25955192255427,2.54,30.44385090623238,80.10152353035998,High,0
"""INT1001",Finance,81.13695501522093,75.11282326265399,4.8,38.72845487023677,79.447192931962,Medium,1
"""INT1002",Marketing,100.0,100.0,3.59,28.72768750883679,97.02386563424784,Low,1
"""INT1003",Finance,77.32619193557692,87.98043254176032,2.83,33.14291874983586,100.0,Medium,0
"""INT1004",Finance,84.22227299735584,81.86886136913101,4.81,38.79692939160373,87.73888310087085,Medium,1
"""INT1005",HR,80.43895150250233,85.9271649973536,3.88,37.076029117324815,83.44950144468328,Medium,1
"""INT1006",Marketing,74.6036605717522,74.26907768967922,3.45,36.7836222538413,81.39014823640319,Medium,0
"""INT1007",Marketing,89.21084990219806,61.404733461979816,3.74,38.95898141023175,66.22320617611588,Low,0
"""INT1008",Marketing,85.36472176654209,94.41337512523192,4.24,41.53511132057393,61.26937419858093,Medium,0
"""INT1009",Finance,94.11027308999928,78.9354579523093,2.46,28.79735467055238,56.29975555265046,Medium,0
"""INT1010",Design,93.10577920330005,53.6131670732897,4.59,36.66622808674092,76.8888181505035,Medium,0
"""INT1011",Marketing,94.00707719041996,87.61065324145132,4.88,39.82259290568047,65.97922935514963,Low,0
"""INT1012",Finance,75.81796627149006,80.61285081970728,3.7,38.83926728100904,84.52729539749832,Medium,0
"""INT1013",HR,91.40960799203096,100.0,4.05,34.20336128583845,61.50757534692978,High,0
"""INT1014",Design,91.65271506290094,84.02798478393079,4.58,33.91448946443323,78.04038718254695,High,1
"""INT1015",HR,74.78937001793145,62.28415586555351,3.12,39.12165644673421,65.8391789412144,Medium,0
"""INT1016",Design,81.81383757772761,53.14771450704973,4.98,36.0701251292035,58.45662147608825,Medium,0
"""INT1017",Finance,70.43887903521032,98.96441880673017,4.04,40.47065441181388,65.23905405992619,Medium,0
"""INT1018",Tech,91.69622632380285,79.0456389972147,3.27,35.549349362802616,67.23306827278793,Medium,0
"""INT1019",Design,91.65022469443974,67.01293606112176,4.03,33.13222262364922,74.74791167848035,High,0
"""INT1020",HR,99.30362799118356,69.2050224623664,3.57,26.18266198195859,67.74618628991254,High,0
"""INT1021",Finance,82.71201492185655,99.47516144158033,2.33,33.847817460247484,63.88308855817011,Medium,0
"""INT1022",Design,89.51469586563796,87.077136488806,4.39,28.84522894969424,65.38078612749608,Medium,0
"""INT1023",Tech,94.87735101025308,96.45766325573445,3.69,25.852278166206737,40.0,Medium,0
"""INT1024",Tech,77.46108471445308,83.6782205705656,4.39,30.67227468397079,70.44561187735945,Medium,0
"""INT1025",Marketing,75.940348586823,67.45066475507181,2.46,38.515561606933225,75.40593699288534,Medium,0
"""INT1026",Marketing,77.77114798923836,100.0,3.62,33.79074640846281,69.93832702831546,High,0
"""INT1027",HR,81.50704531794779,74.13425411031362,4.3,35.890883898489015,77.37745597836108,Medium,0
"""INT1028",Design,76.29445644353846,92.06616456385365,4.96,38.36799571384973,86.5824706408415,High,0
